ticker,name
BASE:BHIP,Banco Hipotecario S.A.
BASE:BMA,Banco Macro S.A.
BASE:BPAT,Banco Patagonia S.A.
BASE:BRIO,Banco Santander Río S.A.
BASE:GGAL,Grupo Financiero Galicia S.A.
BASE:SUPV,Grupo Supervielle S.A.
BOVESPA:BBDC4,Banco Bradesco S.A.
BOVESPA:BPAC5,Banco BTG Pactual S.A.
BOVESPA:BBAS3,Banco do Brasil S.A.
BOVESPA:BRSR6,Banco do Estado do Rio Grande do Sul S.A.
BOVESPA:BPAN4,Banco Pan S.A.
IQ877167,Banco Safra S.A.
BOVESPA:SANB4,Banco Santander (Brasil) S.A.
IQ4493569,Banco Votorantim S.A.
IQT263395863,Caixa Econômica Federal
BOVESPA:ITUB4,Itaú Unibanco Holding S.A.
SNSE:CHILE,Banco de Chile
SNSE:BCI,Banco de Crédito e Inversiones
SNSE:BSANTANDER,Banco Santander-Chile
SNSE:ITAUCORP,Itaú CorpBanca
IQ878100,Banco del Estado de Chile
IQ46993149,Banco Falabella S.A.
IQ9844515,Banco Ripley
IQ879786,Banco Security
BVC:BBVACOL,Banco Bilbao Vizcaya Argentaria Colombia S.A.
BVC:PFDAVVNDA,Banco Davivienda S.A.
BVC:BOGOTA,Banco de Bogotá S.A.
BVC:BCOLOMBIA,Bancolombia S.A.
BVC:GRUPOAVAL,Grupo Aval Acciones y Valores S.A.
IQ20763389,Banco GNB Sudameris S.A.
IQ25776879,Banco Agrario de Colombia S.A.
BVC:OCCIDENTE,Banco de Occidente S.A.
BVC:POPULAR,Banco Popular S.A.
BVC:VILLAS,Banco Comercial AV Villas S.A.
IQ5490737,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte"
IQ32414321,"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
IQ874133,"BBVA Bancomer, S.A."
IQ35907131,"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
BMV:BSMX B,"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México"
IQ22063248,"Banco Regional, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero"
IQ5712269,"Banco Interacciones S.A., Institución de Banca Múltiple, Grupo Financiero Interacciones"
IQ127290,"CIBanco, S. A., Institución de Banca Múltiple"
IQ34016426,"Banco Compartamos, SA, Institución de Banca Múltiple"
BMV:BBAJIO O,"Banco del Bajío, S.A., Institución de Banca Múltiple"
IQ864044,"Grupo Financiero Banamex, S.A. de C.V."
IQ880063,"Grupo Financiero HSBC, S.A. de C.V."
IQ5876034,"Scotiabank Inverlat, S.A."
BVL:CONTINC1,(Invalid Identifier)
BVL:SCOTIAC1,Scotiabank Perú S.A.A.
BVL:CREDITC1,Banco de Crédito del Perú
IQ21765402,Banco Santander Perú S.A.
BVL:INTERBC1,Banco Internacional del Perú S.A.A. - Interbank
IQ4509209,Banco Falabella Perú S.A.
IQ4509208,Banco Ripley Perú S.A.
IQT323383872,BBK B.S.C.
SEHK:3988,Bank of China Limited
SEHK:3328,"Bank of Communications Co., Ltd."
IQT331801236,China CITIC Bank International Limited
IQT297912070,China Construction Bank Corporation
SEHK:1111,Chong Hing Bank Limited
IQT375766931,Industrial and Commercial Bank of China (Asia) Limited
IQT431816588,"Nanyang Commercial Bank, Limited"
SGX:O39,Oversea-Chinese Banking Corporation Limited
SEHK:23,"The Bank of East Asia, Limited"
IQT249205649,Banco Nacional de Costa Rica
MUSE:AEIB.N0004,African Export-Import Bank
LSE:BGEO,Bank of Georgia Group PLC
IQT225793896,Export-Import Bank of India
NSEI:ICICIBANK,ICICI Bank Limited
IQ7959641,Gazprombank (Joint-stock Company)
LSE:HSBK,Joint Stock Company Halyk Savings Bank of Kazakhstan
KLSE:MAYBANK,Malayan Banking Berhad
KLSE:RHBBANK,RHB Bank Berhad
NGSE:ACCESS,Access Bank Plc
NGSE:FIDELITYBK,Fidelity Bank Plc
NGSE:UBA,United Bank for Africa Plc
NGSE:ZENITHBANK,Zenith Bank Plc
IQT532969266,"Banco General, S. A."
IQT275971918,Global Bank Corporation
IQT542796545,"Multibank, Inc."
IQT253883669,Banco Regional S.A.E.C.A.
PSE:BDO,"BDO Unibank, Inc."
IQT276417464,Security Bank Corporation
MISX:SBER,Sberbank of Russia
SGX:D05,DBS Group Holdings Ltd
SGX:U11,United Overseas Bank Limited
IQT292555943,FirstRand Bank Limited
IQT183316786,Shinhan Bank
KOSE:A000030,(Invalid Identifier)
SET:BBL,Bangkok Bank Public Company Limited
IBSE:AKBNK,Akbank T.A.S.
IQT330966618,Alternatifbank A.S.
IBSE:QNBFB,QNB Finansbank A.S.
IQT428873579,Türkiye Cumhuriyeti Ziraat Bankasi A.S.
IBSE:GARAN,Turkiye Garanti Bankasi A.S.
IBSE:HALKB,Türkiye Halk Bankasi A.S.
IBSE:ISCTR,Türkiye Is Bankasi A.S.
IBSE:TSKB,Türkiye Sinai Kalkinma Bankasi A.S.
IBSE:VAKBN,Türkiye Vakiflar Bankasi Türk Anonim Ortakligi
IBSE:YKBNK,Yapi ve Kredi Bankasi A.S.
