Indicadores,1T16,2T16,3T16,4T16,1T17,2T17,3T17,4T17,1T18,2T18,3T18,4T18,1T19,2T19,3T19,4T19,1T20,2T20,3T20,4T20,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25,1T26,2T26,3T26,4T26,1T27,2T27,3T27,4T27,1T28,2T28,3T28,4T28,1T29,2T29,3T29,4T29,1T30,2T30,3T30,4T30
ROAE / ROAA,14.9423276133797,14.2992759327951,14.2814975052812,14.3622708679424,15.2610831855644,14.8671617823294,14.3453662786659,14.5231540466377,15.542399351915,14.8161367044316,14.2932168340383,14.5969300926656,14.898455288268,14.2541685972435,14.2944359735076,14.404736545156,13.8890989424564,13.9677941376115,13.8750185576879,14.0630459714008,13.6003247010861,13.7206216906063,13.6009757698874,13.803297679892,13.5012632160828,13.6811227445023,13.637435896056,13.8921895918486,13.6151827498407,13.7924166485222,13.7721335311087,14.0596156463631,13.7285473824007,13.9017849145026,13.8377583542626,14.1114431186422,13.8196549065431,14.0145370990211,13.9699000170473,14.2599921192183,13.9621965272221,14.1439399714675,14.0812969606928,14.3604141971901,14.0441551129075,14.2377168518964,14.1636867222833,14.4389681075802,14.1360101652707,14.3409767987967,14.284426990058,14.5698576122471,14.2839206396414,14.5033216174061,14.4585145537594,14.754963369519,14.4793645337514,14.7220959069994,14.6923691598649,15.0121648932241
ROAE / ROAA PROM. LTM,14.697398846173,14.8385123878511,14.5992834383581,14.4713429798496,14.5510318728958,14.6930033352793,14.7089705286255,14.7491913232994,14.819520364887,14.8067640954126,14.7937267342556,14.8121707457626,14.6511847298509,14.5106927030538,14.5109974879212,14.4629491010438,14.2106100145909,14.1390163996829,14.034162045728,13.9487394022891,13.8765458419466,13.8147527301953,13.7462420332451,13.6813049603679,13.6565395891171,13.6466648525911,13.6557798841333,13.6780028621224,13.7064827455619,13.7343062215669,13.7679806303301,13.8098371439587,13.8381783020987,13.8655203685938,13.8819265743822,13.894883442452,13.9176603234876,13.9458483696173,13.9788837853134,14.0160210354575,14.0516564406272,14.0840071587388,14.1118563946502,14.1369619141431,14.1574515605645,14.1808957806717,14.2014932210693,14.2211316986669,14.2440954617576,14.2699104484827,14.3000955154264,14.3328178915931,14.3697955101858,14.4103817148381,14.4539036057635,14.5001800450814,14.549041018609,14.6037345910073,14.6621982425337,14.72649862346
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta,0.185570816605008,0.18902822573254,0.18873941562832,0.186392323568424,0.18045108193808,0.182728781323792,0.189846578471065,0.18927199048686,0.190423817998701,0.196092573293519,0.213649138189192,0.213422335824481,0.215187953919625,0.211759265428754,0.216026398975792,0.211068654100265,0.220229498999426,0.217696796781968,0.219200996281939,0.215066233341444,0.221849511123143,0.218802303880831,0.220124434994549,0.215958121911161,0.221536183965515,0.217631867540047,0.217947043901018,0.21291412678836,0.217710819698665,0.213608408515395,0.213677654144335,0.208198963800293,0.21334999401383,0.209876253803164,0.210410572664884,0.205438572007976,0.210254058896331,0.206556342528382,0.20686650661275,0.201817576919437,0.206332498549405,0.202974291077724,0.203556457126164,0.198824720969239,0.203534695743735,0.200235552667033,0.200913694672367,0.196399672498267,0.201035676681469,0.197615857791586,0.198151071340889,0.193590147100889,0.198021034296545,0.194435373801811,0.194857670273676,0.190291594591118,0.194513553708302,0.190730137009637,0.190969635957367,0.186311338017853
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta PROM. LTM,0.186986085819147,0.184596200065633,0.186566898180016,0.187432695383573,0.186152761716841,0.184577900614654,0.184854691325341,0.18557460805495,0.188067792070105,0.191408740062536,0.197359379992068,0.203396966326473,0.209588000306704,0.213504673340513,0.214098988537163,0.213510568106109,0.214770954376059,0.216255337214362,0.217048986540899,0.218048381351194,0.218453384382123,0.218729761156839,0.218960620834992,0.219183592977421,0.219105261188014,0.218812652102818,0.218268304329435,0.217507305548735,0.216550964482023,0.21554509972586,0.214477752286689,0.213298961539672,0.212208755118463,0.211275716440405,0.210458946070543,0.209768848122464,0.208994864343089,0.208164886524393,0.20727887001136,0.206373621239225,0.205393231152493,0.204497718289829,0.203670205918183,0.202921991930633,0.202222541229216,0.201537856626543,0.200877166013094,0.20027090389535,0.199646149129784,0.198991225410922,0.198300569578053,0.197598188228708,0.196844527632477,0.196049406635033,0.19522605636823,0.194401418240787,0.193524548093726,0.192598238895683,0.191626230316606,0.19063116617329
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo,1.07186005286741,1.06923003402506,1.07230248328929,1.07198946955615,1.07315085822019,1.07145707330368,1.07500278392223,1.07616309434438,1.08366561582324,1.08297262108831,1.09037311793563,1.09266668454226,1.07551125982509,1.07796562736572,1.07819835189814,1.08094601859934,1.08308243185573,1.08344302051917,1.08469408385192,1.08460599138853,1.0846362248955,1.08337700079771,1.08288178390491,1.08335237914405,1.08355646257099,1.08271334051418,1.08230857606278,1.08207995939845,1.08296607047997,1.08295487408169,1.08315097700159,1.08329139631797,1.08329460175982,1.08324468147882,1.0832114671974,1.08317662203141,1.08308693874091,1.08301836747241,1.0830151876248,1.08299402309704,1.08295882615122,1.08297911138661,1.08303321731208,1.08309942447306,1.08310404079282,1.08310822534394,1.08310503875502,1.08309377068082,1.08308151765346,1.08307163042768,1.08306293160794,1.08305487671031,1.08305187164985,1.08305366353912,1.08305645154333,1.08306090626838,1.08306789660541,1.08307388183797,1.0830765435413,1.08307488477283
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo PROM. LTM,1.07265121723812,1.06952365548,1.07012698761543,1.07134550993448,1.07166821127267,1.07222497109233,1.07290004625056,1.07394345244762,1.07657214184838,1.07945102879454,1.08329361229789,1.08741950984736,1.08538092084782,1.08412917241718,1.0810854809078,1.07815531442207,1.08004810742973,1.08141745571809,1.08304138870654,1.08395638190384,1.08434483016378,1.08432832523341,1.08387525024666,1.08356184718554,1.08329190660441,1.08312599153353,1.082982689573,1.0826645846366,1.08251698661384,1.08257737000572,1.08278797024042,1.0830908294703,1.08317296229027,1.08324541413955,1.0832605366885,1.08323184311686,1.08317992736214,1.08312334886053,1.08307427896738,1.08302862923379,1.08299660108637,1.08298678706492,1.08299129448674,1.08301764483074,1.08305394849114,1.08308622698048,1.08310418234121,1.08310276889315,1.08309713810831,1.08308798937924,1.08307746259248,1.08306773909985,1.08306032759894,1.0830558358768,1.08305421586065,1.08305572325017,1.08305972948906,1.08306478406377,1.08306980706326,1.08307330168938
Provisiones / Cartera Bruta,2.65129275559927E-02,2.62840237088174E-02,2.73191871621037E-02,2.74648061646791E-02,2.81944579242947E-02,3.01037570938939E-02,3.27203383384254E-02,0.033770434321894,4.25582112633454E-02,4.33917912021344E-02,0.045313319903188,4.63370737332487E-02,4.72452900951775E-02,4.63957326116301E-02,4.72512783443524E-02,4.60335198086099E-02,4.75243678636749E-02,4.63762195737773E-02,4.61196058095111E-02,4.46835015586367E-02,4.53473603393629E-02,4.39786981465321E-02,4.35357829572422E-02,4.20227526752332E-02,4.26614110362953E-02,4.14373273265704E-02,4.10376641333514E-02,3.96284351469554E-02,4.02427451111819E-02,3.91101445316792E-02,3.87619946692282E-02,3.73895947468868E-02,3.79803228125547E-02,3.69541680225388E-02,3.66647407035163E-02,3.54027343372015E-02,3.59730600125336E-02,3.50361281331981E-02,3.48010796112042E-02,3.36386310661196E-02,3.41527526470308E-02,3.32910263794611E-02,3.31048020158641E-02,3.20334780365657E-02,3.25678299785572E-02,3.17702552141923E-02,0.031627338011859,3.06361995005496E-02,3.11900590723386E-02,3.04468610098805E-02,3.03422001263506E-02,2.94216869852186E-02,2.99946316173559E-02,2.92972162290644E-02,2.92264802998909E-02,2.83682110741439E-02,2.89469409267212E-02,2.82760737652945E-02,2.82235465611179E-02,2.74095778391288E-02
Provisiones / Cartera Bruta PROM. LTM,0.02587474628057,2.58326525568003E-02,0.026415887959555,2.68952361478982E-02,2.73156187399737E-02,2.82705520862429E-02,2.96208398803233E-02,0.031197246919627,3.47881852543897E-02,3.81101937814498E-02,4.12584391726404E-02,4.44000990254791E-02,4.55718687334372E-02,4.63228540858111E-02,4.68073436961022E-02,4.67314552149425E-02,4.68012246570668E-02,4.67963463976036E-02,4.65134282638933E-02,0.0461759237014,0.045631671820322,4.50322914635107E-02,4.43863357504434E-02,4.37211485295926E-02,4.30496612038257E-02,4.24143184988353E-02,4.17897887928626E-02,4.11912094107931E-02,4.05865429295148E-02,0.040004747230792,3.94358298647612E-02,0.038876119764744,3.83105141900872E-02,3.77715200628021E-02,3.72472065713741E-02,3.67504914689528E-02,3.62486757689475E-02,3.57691657966124E-02,3.53032505235343E-02,3.48622247057639E-02,3.44071478643882E-02,3.39708724259539E-02,3.35468030271189E-02,3.31455147697304E-02,0.032749284102612,3.23690913112948E-02,3.19997253102935E-02,3.16504056762895E-02,3.13059629497349E-02,3.09751143986569E-02,3.06538299272798E-02,3.03502017984471E-02,3.00513449347014E-02,2.97639337394974E-02,2.94850037828825E-02,2.92216348051138E-02,2.89597121324551E-02,2.87044265165126E-02,2.84536930818194E-02,2.82140347730656E-02
Gasto en Provisiones / Cartera Bruta,1.85952913353679E-02,2.01861499807371E-02,1.69614719252575E-02,1.94165455352723E-02,0.018918577770853,2.57983650738938E-02,2.56123989360067E-02,2.51880303945895E-02,1.96914093378931E-02,1.83682547843576E-02,2.25469787117962E-02,2.94064141954251E-02,1.92733216966474E-02,2.15930590205539E-02,2.19676676517855E-02,2.15121055960778E-02,2.01526466775924E-02,1.96205552671709E-02,1.97940483586815E-02,0.019550365698266,1.90330792176831E-02,1.86280089520792E-02,1.88067534057383E-02,0.018583457600867,1.90296693942985E-02,0.018636321037456,1.88049224759992E-02,1.85822031259116E-02,0.019025853710687,1.86360740000483E-02,1.88057756870744E-02,1.85675960432873E-02,1.90216754786345E-02,1.86407296610538E-02,1.88093130389533E-02,1.85712302341577E-02,1.90176848592796E-02,1.86440275505664E-02,1.88133453518408E-02,1.85751767979983E-02,1.90037251178147E-02,1.86458473734501E-02,1.88172173321241E-02,1.85792654706286E-02,0.019009484390695,1.86472249022466E-02,1.88211255595001E-02,1.85833870055495E-02,1.90154997679496E-02,1.86481346400166E-02,1.88249862068514E-02,1.85875296544742E-02,1.90217939059383E-02,1.86485765941596E-02,1.88288092223186E-02,1.85916786959932E-02,1.90243284150664E-02,0.018644873922099,1.88287496066248E-02,1.85920491571728E-02
Gasto en Provisiones / Cartera Bruta PROM. LTM,1.55020561197142E-02,1.67550156173543E-02,1.78188523031009E-02,1.87898646941587E-02,0.01887068630303,2.02737400763192E-02,2.24364718290064E-02,2.38793430438357E-02,2.40725509355958E-02,2.22150233632117E-02,2.14486683071591E-02,0.022503264257368,2.23987423470566E-02,2.32049434061057E-02,0.023060115641103,2.10865384912662E-02,2.13063697365024E-02,2.08132437981567E-02,2.02698389748806E-02,1.97794040004277E-02,1.94995121354504E-02,1.92513755566775E-02,1.90045518184416E-02,1.87628247940919E-02,1.87619723382457E-02,1.87640503595899E-02,1.87635926271552E-02,1.87632790084163E-02,1.87623250875135E-02,1.87622633281615E-02,1.87624766309303E-02,1.87588248602742E-02,1.87577803022611E-02,1.87589442175125E-02,1.87598285554822E-02,1.87607371031998E-02,1.87597394483611E-02,1.87605639207392E-02,1.87615719989611E-02,1.87625586399213E-02,0.018759068704555,1.87595236602759E-02,1.87604916553468E-02,1.87615138235044E-02,1.87629536417244E-02,1.87632980239236E-02,1.87642750807676E-02,1.87653054644978E-02,1.87668093088114E-02,1.87670367432539E-02,1.87680019050918E-02,1.87690375673229E-02,1.87706111018201E-02,1.87707215903559E-02,1.87716773442227E-02,1.87727146046024E-02,1.87733482318844E-02,1.87724225638693E-02,1.87724076599458E-02,1.87725002752407E-02
