Indicadores,1T16,2T16,3T16,4T16,1T17,2T17,3T17,4T17,1T18,2T18,3T18,4T18,1T19,2T19,3T19,4T19,1T20,2T20,3T20,4T20,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25,1T26,2T26,3T26,4T26,1T27,2T27,3T27,4T27,1T28,2T28,3T28,4T28,1T29,2T29,3T29,4T29,1T30,2T30,3T30,4T30
ROAE / ROAA,11.43641988,8.563821735,8.558629358,8.618719416,9.098969828,8.840051567,8.538336392,8.683853492,9.054325436,8.793876762,8.521441099,9.019937663,8.775582045,9.007604198,8.844997623,8.906079686,8.782088283,9.003330319,8.833406609,8.871171917,8.804910107,8.99620163,8.811039596,8.823417793,8.761208498,8.951639613,8.759729681,8.764042205,8.691700445,8.849873224,8.67220887,8.671048232,8.606147853,8.759702353,8.583888143,8.577229411,8.51382924,8.659775838,8.485696521,8.475246892,8.433833774,8.568891544,8.391458109,8.37623369,8.334613281,8.46525653,8.291069496,8.272376395,8.231535778,8.385165697,8.236481369,8.236599034,8.217143552,8.389359335,8.260404534,8.277499502,8.279718768,8.474208773,8.365380064,8.401767267
ROAE / ROAA PROM. LTM,10.76257909,10.13326717,10.00260957,9.294397596,8.710035084,8.779092542,8.774019301,8.79030282,8.779141722,8.767598021,8.763374197,8.84739524,8.777709392,8.831141251,8.912030382,8.883565888,8.885192447,8.884123978,8.881226224,8.872499282,8.878204738,8.876422566,8.870830812,8.858892281,8.847966879,8.836826375,8.823998896,8.809154999,8.791777986,8.766336389,8.744456186,8.721207693,8.699819545,8.677276827,8.655196645,8.63174194,8.608662287,8.583680658,8.559132752,8.533637123,8.513638256,8.490917183,8.46735758,8.442604279,8.417799156,8.391890402,8.366793249,8.340828925,8.31505955,8.295036842,8.28138981,8.27244547,8.268847413,8.269895822,8.275876614,8.286101731,8.301745535,8.322957895,8.349201777,8.380268718
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta,0.207755895,0.198988036,0.199327057,0.197002849,0.191961867,0.194218268,0.202463923,0.199301578,0.20130784,0.205020228,0.218123976,0.208542571,0.21433499,0.207360663,0.211640143,0.210098766,0.213018281,0.206868834,0.211518906,0.210323402,0.211767713,0.206307601,0.211199033,0.210680696,0.212341965,0.20717208,0.212179393,0.211761217,0.213524762,0.208766217,0.213548667,0.213327608,0.215011484,0.210366672,0.215209609,0.215172209,0.216850636,0.212353729,0.217272597,0.217377143,0.218421451,0.214118284,0.219192783,0.219441704,0.220508746,0.216278712,0.221404737,0.221785857,0.222869883,0.218086846,0.222669946,0.22261354,0.22317382,0.217967431,0.222060974,0.221609468,0.22161375,0.215975763,0.219502395,0.218613846
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta PROM. LTM,0.203771431,0.199905075,0.202424699,0.200768459,0.196819952,0.19562751,0.196411727,0.196986409,0.199322902,0.202023392,0.205938406,0.208248654,0.211505441,0.21209055,0.210469592,0.21085864,0.210529463,0.210406506,0.210376197,0.210432356,0.210119714,0.209979406,0.209899437,0.209988761,0.210132324,0.210348443,0.210593534,0.210863664,0.211159363,0.211557897,0.211900216,0.212291813,0.212663494,0.213063608,0.213478843,0.213939994,0.214399782,0.214896546,0.215412293,0.215963526,0.21635623,0.216797369,0.217277415,0.217793555,0.218315379,0.218855486,0.219408475,0.219994513,0.220584797,0.221036831,0.221353133,0.221560054,0.221636038,0.221606184,0.221453941,0.221202923,0.220812906,0.220314989,0.219675344,0.218926438
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo,1.057955841,1.078615893,1.082748729,1.083613017,1.086864341,1.088010451,1.093993378,1.095542653,1.10766191,1.108760765,1.111571825,1.105446602,1.108435547,1.105645307,1.109166833,1.108946852,1.110795685,1.108156989,1.111835617,1.111812532,1.112928861,1.110720439,1.114668659,1.115043058,1.116172867,1.113898249,1.118005792,1.118508807,1.119871714,1.118002831,1.121954473,1.122508815,1.123802218,1.121878256,1.125872913,1.126508466,1.127824355,1.125898406,1.129947786,1.130639217,1.13159714,1.129744756,1.133942907,1.134719217,1.135711387,1.133810754,1.138041039,1.138876814,1.139883789,1.137419239,1.141186857,1.14161149,1.1421779,1.139269118,1.14262114,1.142676821,1.14279209,1.139454273,1.142339767,1.142005527
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo PROM. LTM,1.064136789,1.06621743,1.068572098,1.07573337,1.082960495,1.085309134,1.088120297,1.091102706,1.096302098,1.101489676,1.105884288,1.108360276,1.108553685,1.107774821,1.107173572,1.108048635,1.108638669,1.10926659,1.109933786,1.110650206,1.1111835,1.111824363,1.112532623,1.113340255,1.114151256,1.114945708,1.115779991,1.116646429,1.11757114,1.118597286,1.119584456,1.120584458,1.121567084,1.122535941,1.123515551,1.124515463,1.125520998,1.126526035,1.127544754,1.128577441,1.129520637,1.130482225,1.131481005,1.132501005,1.133529567,1.134546066,1.135570599,1.136609999,1.137653099,1.13855522,1.139341675,1.140025344,1.140598871,1.141061341,1.141419912,1.141686245,1.141839792,1.141886081,1.141815738,1.141647915
Provisiones / Cartera Bruta,0.023240094,2.29E-02,2.37E-02,2.38E-02,2.51E-02,0.027051885,2.93E-02,3.00E-02,3.97E-02,4.00E-02,4.35E-02,4.26E-02,4.38E-02,4.25E-02,4.34E-02,0.043423611,4.42E-02,4.30E-02,4.39E-02,4.36E-02,4.40E-02,4.29E-02,4.38E-02,0.043647002,4.40E-02,4.29E-02,0.043791647,4.36E-02,4.39E-02,4.28E-02,4.38E-02,4.37E-02,4.40E-02,4.29E-02,4.38E-02,4.38E-02,4.40E-02,4.30E-02,4.39E-02,4.39E-02,4.40E-02,4.30E-02,4.40E-02,4.39E-02,4.41E-02,4.31E-02,4.40E-02,4.40E-02,4.42E-02,4.32E-02,0.04417825,4.42E-02,4.43E-02,4.34E-02,0.04436305,0.044390673,4.45E-02,4.36E-02,4.45E-02,4.46E-02
Provisiones / Cartera Bruta PROM. LTM,2.25E-02,0.022536669,2.30E-02,2.34E-02,2.39E-02,2.49E-02,0.026312052,2.79E-02,3.15E-02,0.034737335,3.83E-02,4.14E-02,4.24E-02,0.043076323,4.31E-02,4.33E-02,4.34E-02,4.35E-02,4.36E-02,4.37E-02,4.36E-02,0.043595269,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.36E-02,4.37E-02,4.37E-02,4.37E-02,4.37E-02,4.37E-02,4.37E-02,4.37E-02,4.37E-02,4.38E-02,4.38E-02,4.38E-02,4.38E-02,4.39E-02,4.39E-02,4.39E-02,4.40E-02,0.044016843,4.41E-02,4.41E-02,4.42E-02,4.42E-02,4.43E-02,4.43E-02
Gasto en Provisiones / Cartera Bruta,2.02E-02,1.94E-02,1.75E-02,1.77E-02,1.98E-02,2.53E-02,2.32E-02,2.29E-02,2.09E-02,1.79E-02,2.39E-02,2.52E-02,2.11E-02,2.05E-02,2.10E-02,2.07E-02,1.99E-02,1.95E-02,2.00E-02,1.97E-02,1.99E-02,1.95E-02,2.00E-02,1.98E-02,1.99E-02,1.95E-02,2.00E-02,1.98E-02,1.98E-02,1.96E-02,2.00E-02,1.98E-02,0.019844305,1.96E-02,2.00E-02,0.019764762,1.98E-02,1.96E-02,2.00E-02,0.019770611,1.98E-02,1.96E-02,2.00E-02,1.98E-02,1.98E-02,1.96E-02,2.00E-02,1.98E-02,1.98E-02,1.96E-02,2.00E-02,1.98E-02,1.98E-02,1.96E-02,2.00E-02,1.98E-02,1.98E-02,1.96E-02,2.00E-02,1.98E-02
Gasto en Provisiones / Cartera Bruta PROM. LTM,1.59E-02,1.69E-02,1.76E-02,1.87E-02,1.86E-02,2.01E-02,2.15E-02,2.28E-02,2.31E-02,2.12E-02,2.14E-02,2.19E-02,0.022010793,2.27E-02,0.021939031,2.08E-02,2.05E-02,2.03E-02,2.00E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,0.019782568,1.98E-02,1.98E-02,1.98E-02,1.98E-02,0.019786818,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,0.019785514,1.98E-02,1.98E-02,0.019787153,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,0.019792555,1.98E-02,0.019794075,1.98E-02,1.98E-02,1.98E-02,1.98E-02,1.98E-02,0.019796673,1.98E-02
Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones) ,4.54E-02,0.048335812,4.98E-02,4.99E-02,4.91E-02,4.99E-02,5.14E-02,4.95E-02,5.08E-02,4.79E-02,5.00E-02,4.57E-02,0.046899188,4.59E-02,4.80E-02,4.55E-02,4.56E-02,4.56E-02,4.66E-02,4.61E-02,4.64E-02,4.59E-02,4.66E-02,4.61E-02,0.04632565,4.56E-02,4.64E-02,4.59E-02,4.63E-02,4.57E-02,0.046332628,4.58E-02,4.59E-02,4.54E-02,4.62E-02,4.56E-02,4.58E-02,4.52E-02,4.60E-02,0.045446585,4.55E-02,4.54E-02,4.62E-02,4.53E-02,4.54E-02,4.51E-02,4.58E-02,4.52E-02,4.52E-02,4.48E-02,0.045556583,0.045051477,4.51E-02,4.47E-02,4.55E-02,4.50E-02,4.51E-02,4.47E-02,4.55E-02,4.51E-02
Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones)  PROM. LTM,4.35E-02,4.57E-02,4.67E-02,4.84E-02,4.93E-02,4.97E-02,5.01E-02,5.00E-02,5.04E-02,4.99E-02,4.95E-02,4.86E-02,4.76E-02,4.71E-02,0.046628341,4.66E-02,4.63E-02,4.62E-02,0.045832284,4.60E-02,4.62E-02,4.62E-02,4.62E-02,0.04623882,4.62E-02,4.62E-02,4.61E-02,4.60E-02,4.60E-02,4.61E-02,4.60E-02,4.60E-02,4.59E-02,4.58E-02,4.58E-02,4.58E-02,4.57E-02,4.57E-02,4.56E-02,4.56E-02,4.55E-02,4.56E-02,4.56E-02,4.56E-02,4.56E-02,4.55E-02,4.54E-02,4.54E-02,4.53E-02,4.52E-02,4.52E-02,0.045148831,4.51E-02,4.51E-02,4.51E-02,4.51E-02,4.51E-02,4.51E-02,4.51E-02,4.51E-02
