IQT342490206,361 Degrees International Limited
IQT404713860,Abu Dhabi National Energy Company PJSC
IQT307683354,Adani Ports and Special Economic Zone Limited
IQT537878836,Adecoagro S.A.
IQT418694982,Aeropuertos Argentina 2000 S.A.
IQT417785110,AES Argentina Generación S.A.
IQT252970049,AES Gener S.A.
IQT304324158,"AES Panama, S.R.L."
IQT297911881,Agile Group Holdings Limited
IQT222451804,Agrokor d.d.
IQT327940451,AIA Group Limited
IQT260783041,"Alfa, S. A. B. de C. V."
IQT545044190,Alibaba Group Holding Limited
IQT109949292,"América Móvil, S.A.B. de C.V."
IQT231936761,Arçelik Anonim Sirketi
IQT370291262,Arcor S.A.I.C.
IQT238552588,Avianca Holdings S.A.
IQT543412152,"Axtel, S.A.B. de C.V."
IQT84003476,Banco Nacional de Desenvolvimento Econômico e Social
IQT303107530,Bharti Airtel Limited
IQT537331663,BOC Aviation Limited
IQT240442731,BRF S.A.
IQT280718202,CAR Inc.
IQT268309953,Celulosa Arauco y Constitución S.A.
IQT327940550,"CEMEX, S.A.B. de C.V."
IQT142019129,Centrais Elétricas Brasileiras S.A. - Eletrobrás
IQT291339528,Central China Real Estate Limited
IQT432882110,China Evergrande Group
IQT427605101,China Oil And Gas Group Limited
IQT422703847,China SCE Group Holdings Limited
IQT287295962,China Shanshui Cement Group Limited
IQT422169797,China South City Holdings Limited
IQT302471331,CIFI Holdings (Group) Co. Ltd.
IQT420325888,CITIC Limited
IQT372502278,CLISA - Compañía Latinoamericana de Infraestructura y Servicios S.A.
IQT61560002,CNOOC Petroleum North America ULC
IQT251890590,"Coca-Cola FEMSA, S.A.B. de C.V."
IQT267701107,Colbún S.A.
IQT217646032,Colombia Telecomunicaciones S.A. ESP
IQT137068396,"Controladora Mabe, S.A. de C.V."
IQT306696929,Corporación Financiera de Desarrollo S.A.
IQT532400523,Corporación Nacional del Cobre de Chile
IQT286356052,Country Garden Holdings Company Limited
IQT374508527,"Crédito Real, S.A.B. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad No Regulada"
